Area Name,Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Alabama (01-00000),"2,091,480",0.0,$26.61,"$55,350",0.3,$11.31,$14.74,$21.07,$30.82,$47.51,"$23,520","$30,660","$43,830","$64,110","$98,810",1000.000,1.0
Alaska (02-00000),"321,040",0.0,$35.01,"$72,810",0.3,$16.37,$19.61,$28.56,$43.06,$60.90,"$34,060","$40,800","$59,400","$89,560","$126,680",1000.000,1.0
Arizona (04-00000),"3,196,750",0.0,$31.61,"$65,740",0.4,$15.66,$17.96,$23.47,$36.60,$54.48,"$32,560","$37,350","$48,810","$76,120","$113,320",1000.000,1.0
Arkansas (05-00000),"1,288,810",0.0,$25.52,"$53,070",0.4,$12.79,$14.84,$19.72,$29.04,$43.01,"$26,600","$30,870","$41,020","$60,400","$89,460",1000.000,1.0
California (06-00000),"18,057,850",0.0,$38.41,"$79,900",0.4,$16.95,$18.87,$27.38,$46.31,$75.58,"$35,260","$39,250","$56,940","$96,330","$157,210",1000.000,1.0
Colorado (08-00000),"2,891,210",0.0,$36.33,"$75,560",0.3,$16.94,$19.91,$27.99,$42.45,$64.45,"$35,240","$41,410","$58,210","$88,290","$134,050",1000.000,1.0
Connecticut (09-00000),"1,682,000",0.0,$36.56,"$76,050",0.4,$16.47,$18.77,$28.08,$44.30,$64.36,"$34,260","$39,030","$58,400","$92,150","$133,860",1000.000,1.0
Delaware (10-00000),"476,450",0.0,$32.52,"$67,640",0.4,$14.40,$17.52,$24.53,$38.63,$59.74,"$29,940","$36,450","$51,030","$80,340","$124,260",1000.000,1.0
District of Columbia (11-00000),"708,790",0.0,$52.61,"$109,420",0.5,$18.50,$25.63,$42.31,$67.93,$92.25,"$38,480","$53,310","$88,000","$141,300","$191,880",1000.000,1.0
Florida (12-00000),"9,820,120",0.0,$30.29,"$62,990",0.3,$13.84,$17.01,$22.53,$35.25,$52.76,"$28,780","$35,380","$46,860","$73,320","$109,730",1000.000,1.0
